"brand","model","model_year","fuel_type","transmission","ext_col","int_col","accident","clean_title","Horsepower","Engine_Size","Cylinders","Mileage","Price"
"BMW","M850 i xDrive",2019,"Gasoline","Automatic","Blue","Black","None reported","No",332.283838699594,3.71083587046776,6,9949,75798
"Lucid","Air Grand Touring",2022,"","1-Speed A/T","Red","Beige","None reported","Yes",536,3.71083587046776,6,3552,119999
"Audi","A7 Premium",2012,"Gasoline","8-Speed A/T","Black","Brown","At least 1 accident or damage reported","Yes",310,3,6,54000,36880
"Chevrolet","Silverado 1500 Custom Trail Boss",2021,"Gasoline","Automatic","Black","Jet Black","None reported","Yes",332.283838699594,5.3,6,51351,43147
"MINI","Convertible John Cooper Works",2017,"Gasoline","6-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",228,2,4,24280,29000
"Toyota","Avalon Touring",2016,"Gasoline","A/T","Black","Black","None reported","Yes",268,3.5,6,89148,17500
"Porsche","Cayenne Platinum Edition",2017,"Gasoline","8-Speed A/T","White","Black","None reported","Yes",300,3.6,6,73043,30990
"Mercedes-Benz","AMG C 63 S",2017,"Gasoline","Transmission w/Dual Shift Mode","Gray","Black","At least 1 accident or damage reported","Yes",503,4,8,60000,52500
"Honda","CR-V EX-L",2016,"Gasoline","Automatic CVT","Mountain Air Metallic","Black","At least 1 accident or damage reported","No",332.283838699594,2.4,6,73549,20848
"Hummer","H2 Base",2005,"Gasoline","A/T","Gray","Black","None reported","Yes",325,6,8,110900,19500
"Porsche","911 Carrera S",2013,"Gasoline","7-Speed A/T","Blue","Black","None reported","Yes",400,3.8,6,39000,73000
"Mercedes-Benz","CLA-Class CLA 250",2016,"Gasoline","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",208,2,4,120000,19800
"Chrysler","300 Touring",2009,"Gasoline","Transmission w/Dual Shift Mode","Blue","Black","None reported","Yes",250,3.5,6,134602,7500
"Nissan","Rogue SV",2023,"Gasoline","Automatic CVT","Caspian Blue","Light Gray","None reported","No",332.283838699594,1.5,6,1094,30999
"Audi","A3 2.0T",2010,"Gasoline","Transmission w/Dual Shift Mode","Silver","Black","None reported","Yes",200,2,4,83500,6500
"Ford","Mustang GT Premium",2014,"Gasoline","6-Speed M/T","Black","Black","None reported","Yes",420,5,8,37060,28500
"Acura","RL Technology",2010,"Gasoline","Transmission w/Dual Shift Mode","Blue","Beige","None reported","Yes",300,3.7,6,97700,10995
"Volvo","XC90 Hybrid T8 R-Design",2018,"Plug-In Hybrid","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",400,2,4,40000,42000
"Audi","R8 5.2 V10",2018,"Gasoline","7-Speed Automatic with Auto-Shift","Tango Red Metallic","Black","None reported","No",332.283838699594,5.2,6,8940,144900
"Mercedes-Benz","GLK-Class GLK 350",2014,"Gasoline","A/T","Black","Beige","At least 1 accident or damage reported","Yes",302,3.5,6,186000,10000
"Toyota","C-HR LE",2021,"Gasoline","CVT-F","–","Unknown","None reported","No",332.283838699594,3.71083587046776,6,13180,23998
"Lexus","IS 350 Base",2014,"Gasoline","8-Speed A/T","Black","Black","None reported","Yes",306,3.5,6,104000,21000
"BMW","X4 M40i",2023,"Hybrid","Transmission w/Dual Shift Mode","Gray","Beige","None reported","Yes",382,3,6,8500,67900
"BMW","M4 CS",2019,"Gasoline","Automatic","Alpine White","Anthracite","None reported","No",332.283838699594,3.71083587046776,6,19069,69998
"Cadillac","CT5 Premium Luxury",2023,"Gasoline","A/T","White","Beige","None reported","Yes",237,2,4,6090,46900
"Lucid","Air Grand Touring",2022,"","1-Speed A/T","Red","Black","None reported","Yes",536,3.71083587046776,6,4900,99000
"Audi","A5 2.0T Premium Plus",2019,"Gasoline","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",248,2,4,47523,31000
"Chrysler","300C SRT8",2006,"Gasoline","5-Speed A/T","Silver","Black","At least 1 accident or damage reported","Yes",425,6.1,8,43000,19995
"Bentley","Continental GT W12",2017,"Gasoline","8-Speed A/T","White","White","None reported","Yes",582,6,2,14684,130000
"BMW","M4 Base",2019,"Gasoline","Transmission w/Dual Shift Mode","Black","Red","None reported","Yes",425,3,6,57800,55999
"Toyota","GR Corolla Circuit Edition",2023,"Gasoline","6-Speed M/T","Silver","Gray","None reported","Yes",300,1.6,3,952,49950
"Audi","RS 5 2.9T",2019,"Gasoline","8-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",444,2.9,6,21240,59950
"Porsche","Cayenne Base",2019,"Gasoline","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",335,3,6,59338,42499
"Lamborghini","Huracan Tecnica Coupe",2023,"Gasoline","Automatic","BLU ELEOS","Nero Ade","None reported","No",332.283838699594,5.2,6,255,359991
"Maserati","Quattroporte S",2019,"Gasoline","8-Speed A/T","Black","Black","None reported","Yes",424,3,6,23230,44999
"Jaguar","XF 35t R-Sport",2017,"Gasoline","A/T","Red","Black","At least 1 accident or damage reported","Yes",340,3,6,48000,30000
"Lexus","ES 330 Base",2005,"Gasoline","5-Speed A/T","White","Beige","None reported","Yes",225,3.3,6,41059,11100
"Land","Rover Discovery Sport SE R-Dynamic",2020,"Gasoline","Automatic","White","Black","None reported","No",332.283838699594,3.71083587046776,6,21240,37998
"Porsche","Cayman GTS",2015,"Gasoline","7-Speed A/T","Silver","Unknown","None reported","Yes",340,3.4,6,11500,72000
"Genesis","G90 3.3T Premium",2021,"Gasoline","8-Speed A/T","Silver","Blue","None reported","Yes",365,3.3,6,9950,53950
"Volkswagen","Golf R 20th Anniversary Edition",2023,"Gasoline","6-Speed M/T","White","Black","None reported","Yes",315,2,4,633,47999
"Hyundai","Sonata Hybrid Limited",2015,"Hybrid","A/T","White","Gray","At least 1 accident or damage reported","Yes",199,2.4,4,66000,15900
"Audi","RS 7 4.0T Prestige",2014,"Gasoline","A/T","Gray","Black","At least 1 accident or damage reported","Yes",560,4,8,59715,45000
"BMW","740 Li",2012,"Gasoline","6-Speed A/T","Black","Black","None reported","Yes",326,3,6,85252,18500
"Mercedes-Benz","GLS 450 Base 4MATIC",2020,"Hybrid","9-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",362,3,6,17900,80000
"BMW","M6 Base",2016,"Gasoline","7-Speed A/T","White","Black","None reported","Yes",560,4.4,8,25500,55000
"Subaru","Forester 2.5 X",2004,"Gasoline","M/T","Green","Beige","","No",165,2.5,4,210703,2300
"Hyundai","Elantra N Base",2023,"Gasoline","6-Speed M/T","White","Black","None reported","Yes",276,2,4,3800,34000
"Kia","Niro Plug-In Hybrid EX Premium",2022,"Hybrid","6-Speed Automatic with Auto-Shift","Horizon Blue","Charcoal","None reported","Yes",332.283838699594,1.6,6,36602,31995
"Rivian","R1S Adventure Package",2023,"","1-Speed A/T","White","Green","None reported","Yes",835,3.71083587046776,6,2800,92000
"Aston","Martin DBS Superleggera",2021,"Gasoline","8-Speed Automatic","Black","Black","None reported","Yes",332.283838699594,5.2,6,2165,279950
"Mercedes-Benz","SLC 300 Base",2018,"Gasoline","9-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",241,2,4,33000,29900
"BMW","435 Gran Coupe i",2016,"Gasoline","8-Speed A/T","White","Beige","None reported","Yes",300,3,6,76009,24950
"Jeep","Grand Cherokee Summit",2020,"Gasoline","8-Speed Automatic","Granite Crystal Clearcoat Metallic","Black","None reported","No",332.283838699594,5.7,6,31349,39366
"Lexus","RC 350 Base",2015,"Gasoline","Transmission w/Dual Shift Mode","Orange","Red","None reported","Yes",306,3.5,6,48000,32900
"BMW","525 i",2005,"Gasoline","6-Speed A/T","Black","Black","None reported","Yes",215,2.5,6,91420,8900
"Toyota","Corolla LE",2003,"Gasoline","M/T","Beige","Beige","At least 1 accident or damage reported","Yes",130,1.8,4,124756,4995
"Cadillac","CT5-V Blackwing",2023,"Gasoline","10-Speed Automatic","Rift Metallic","Gray","None reported","No",332.283838699594,6.2,6,2415,104900
"GMC","Acadia SLT-1",2012,"Gasoline","6-Speed A/T","Black","Black","None reported","Yes",288,3.6,6,116226,7900
"Lexus","LC 500 Base",2020,"Gasoline","10-Speed Automatic","Atomic Silver","Rioja Red","None reported","No",332.283838699594,5,6,37869,75950
"BMW","i8 Base",2019,"Plug-In Hybrid","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",369,1.5,3,41500,86000
"Lexus","ES 300h Base",2013,"Hybrid","CVT Transmission","Gold","Beige","None reported","Yes",200,2.5,4,87001,17995
"Cadillac","CT5-V V-Series",2022,"Gasoline","Automatic","Summit White","Jet Black","At least 1 accident or damage reported","Yes",332.283838699594,3,6,4451,55655
"BMW","540 i xDrive",2020,"Gasoline","Automatic","Imperial Blue Metallic","Canberra Beige/Black","None reported","No",332.283838699594,3.71083587046776,6,27158,39998
"Chevrolet","Express 1500 Work Van",2014,"Gasoline","A/T","White","Gray","At least 1 accident or damage reported","Yes",195,4.3,6,139804,14500
"Jeep","Gladiator Rubicon",2022,"Gasoline","A/T","Green","Black","None reported","Yes",285,3.6,6,27300,47500
"BMW","Z4 sDrive28i",2014,"Gasoline","Transmission w/Dual Shift Mode","White","Beige","None reported","Yes",240,2,4,36812,27000
"Land","Rover LR4 HSE LUX Landmark Edition",2016,"Gasoline","8-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",340,3,6,144000,18000
"Cadillac","XT4 Sport",2019,"Gasoline","9-Speed A/T","Blue","White","None reported","Yes",237,2,4,44500,28900
"BMW","750 750i xDrive",2021,"Gasoline","Automatic","Black","Black","None reported","No",332.283838699594,3.71083587046776,6,10917,73998
"Bentley","Arnage R",2005,"Gasoline","4-Speed A/T","White","Beige","None reported","Yes",400,6.75,8,8332,47350
"Lincoln","Aviator Reserve AWD",2020,"Gasoline","Automatic","Magnetic Gray Clearcoat","Roast","None reported","No",332.283838699594,3.71083587046776,6,51247,47698
"Mercedes-Benz","AMG GL AMG GL 63 4MATIC",2016,"Gasoline","Transmission w/Dual Shift Mode","Black","Brown","None reported","Yes",550,5.5,8,69000,36500
"RAM","ProMaster 3500 High Roof",2021,"Gasoline","6-Speed Automatic","Bright White Clearcoat","Black","None reported","Yes",332.283838699594,3.6,6,147834,32662
"Ford","Utility Police Interceptor Base",2013,"E85 Flex Fuel","A/T","White","Black","At least 1 accident or damage reported","Yes",300,3.7,6,105000,6600
"Audi","A5 2.0T Premium",2011,"Gasoline","Transmission w/Dual Shift Mode","Red","Beige","None reported","Yes",211,2,4,92203,9995
"Nissan","GT-R Premium",2010,"Gasoline","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",485,3.8,6,15600,69500
"Land","Rover Range Rover Sport 3.0L Supercharged HSE",2018,"Gasoline","Automatic","Fuji White","Ivory / Ebony","At least 1 accident or damage reported","No",332.283838699594,3.71083587046776,6,104700,30775
"Toyota","Corolla LE",2010,"Gasoline","A/T","Red","Gray","At least 1 accident or damage reported","Yes",132,1.8,4,72348,9995
"Rivian","R1S Adventure Package",2023,"","A/T","Green","White","None reported","Yes",835,3.71083587046776,6,2500,94000
"Mercedes-Benz","C-Class C300 4MATIC",2022,"Gasoline","Automatic","White","Silk Beige/Black","None reported","No",332.283838699594,3.71083587046776,6,13177,44798
"Porsche","Cayenne E-Hybrid S",2016,"Plug-In Hybrid","Transmission w/Dual Shift Mode","White","Red","At least 1 accident or damage reported","Yes",416,3,6,96000,23000
"Chevrolet","Express 1500 Work Van",2011,"E85 Flex Fuel","4-Speed Automatic","Summit White","Medium Pewter","None reported","Yes",332.283838699594,5.3,6,93009,22495
"INFINITI","Q70h Base",2016,"Hybrid","7-Speed A/T","White","Black","At least 1 accident or damage reported","Yes",360,3.5,6,52750,28998
"Audi","A7 Premium Plus",2020,"Hybrid","Automatic","Typhoon Gray","Black","None reported","No",332.283838699594,3.71083587046776,6,25361,49998
"Audi","Q7 3.0T Premium Plus",2015,"Gasoline","8-Speed A/T","Black","Black","","No",280,3,6,98527,9995
"Lucid","Air Pure",2023,"","A/T","Black","Gray","","No",620,3.71083587046776,6,1300,86900
"Audi","TTS 2.0T Premium Plus",2012,"Gasoline","6-Speed A/T","White","Black","","No",265,2,4,72922,25999
"BMW","650 Gran Coupe i xDrive",2015,"Gasoline","8-Speed A/T","Black","Black","None reported","Yes",445,4.4,8,41000,30000
"Subaru","Forester Premium",2021,"Gasoline","Automatic CVT","Crystal Black Silica","Black","None reported","Yes",332.283838699594,2.5,6,42125,27899
"Mercedes-Benz","AMG C AMG C 63",2016,"Gasoline","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",469,4,8,62000,40000
"Land","Rover LR3 HSE",2006,"Gasoline","6-Speed A/T","Red","Beige","At least 1 accident or damage reported","Yes",300,4.4,8,153843,9950
"BMW","X7 xDrive40i",2019,"Gasoline","Automatic","Arctic Gray Metallic","Black","None reported","No",332.283838699594,3.71083587046776,6,35248,53998
"Ford","Transit Connect XLT",2015,"Gasoline","6-Speed A/T","White","Black","None reported","Yes",169,2.5,4,194454,9888
"Lexus","LX 570 Three-Row",2021,"Gasoline","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",383,5.7,8,21000,89999
"Porsche","911 Carrera S",2013,"Gasoline","7-Speed M/T","Black","Black","","No",400,3.8,6,18494,86900
"Dodge","Ram 2500 Laramie Quad Cab",2006,"Gasoline","4-Speed A/T","Red","Gray","None reported","Yes",330,5.7,8,218000,12990
"Nissan","Armada SL",2021,"Gasoline","7-Speed A/T","Silver","Black","At least 1 accident or damage reported","Yes",400,5.6,8,67800,36500
"Porsche","Cayman Base",2014,"Gasoline","Transmission w/Dual Shift Mode","Red","Black","At least 1 accident or damage reported","Yes",275,2.7,6,79000,42999
"Mercedes-Benz","GLE 450 GLE 450",2022,"Hybrid","Automatic","Selenite Grey Metallic","Black","None reported","No",332.283838699594,3.71083587046776,6,24906,63998
"Chevrolet","Monte Carlo SS",2006,"Gasoline","A/T","White","Gray","At least 1 accident or damage reported","Yes",303,5.3,8,66840,12000
"BMW","M5 Base",2013,"Gasoline","Transmission w/Dual Shift Mode","Blue","White","None reported","Yes",560,4.4,8,86000,32000
"Hyundai","Kona N Base",2023,"Gasoline","8-Speed Automatic with Auto-Shift","Ultra Black","Black","None reported","Yes",332.283838699594,2,6,654,34599
"Chevrolet","Monte Carlo SS",2005,"Gasoline","A/T","Black","Black","None reported","Yes",240,3.8,6,75000,12500
"Land","Rover Range Rover Evoque Pure",2015,"Gasoline","9-Speed A/T","Beige","Black","At least 1 accident or damage reported","Yes",240,2,4,84000,22800
"Audi","S7 4.0T Premium Plus",2017,"Gasoline","Transmission w/Dual Shift Mode","Gray","Gray","None reported","Yes",450,4,8,52500,39999
"GMC","Acadia SLT-1",2011,"Gasoline","6-Speed A/T","Silver","Gray","None reported","Yes",288,3.6,6,120000,7500
"Alfa","Romeo Stelvio Ti Sport",2020,"Gasoline","8-Speed Automatic","Lunare White Metallic","Ice","None reported","Yes",332.283838699594,2,6,18665,35645
"Ferrari","FF Base",2016,"Gasoline","7-Speed A/T","Black","Brown","None reported","Yes",651,6.3,2,19987,149900
"Kia","K900 5.0L",2017,"Gasoline","8-Speed A/T","Black","Beige","At least 1 accident or damage reported","Yes",420,5,8,36486,23950
"Ford","E150 XLT",2013,"E85 Flex Fuel","4-Speed A/T","Black","Gray","None reported","Yes",255,5.4,8,162100,12500
"Tesla","Model 3 Performance",2022,"","A/T","Black","White","None reported","Yes",455,3.71083587046776,6,13079,47000
"Toyota","4Runner SR5",2022,"Gasoline","5-Speed Automatic","Silver","Gray","None reported","No",332.283838699594,4,6,28377,36999
"Subaru","Forester Base",2020,"Gasoline","CVT Transmission","Black","Gray","None reported","Yes",182,2.5,4,32744,24000
"Porsche","Panamera 2",2012,"Gasoline","A/T","White","Unknown","At least 1 accident or damage reported","Yes",300,3.6,6,54000,26000
"Toyota","Tacoma PreRunner",2008,"Gasoline","A/T","Silver","Gray","At least 1 accident or damage reported","Yes",236,4,6,202055,8500
"RAM","2500 Laramie",2019,"Diesel","6-Speed A/T","Black","Black","None reported","Yes",370,6.7,6,65000,65000
"Kia","Sportage Nightfall",2022,"Gasoline","6-Speed Automatic","Hyper Red","Black","None reported","Yes",332.283838699594,2.4,6,9686,30990
"Cadillac","DTS Base",2010,"Gasoline","A/T","White","Gray","None reported","Yes",275,4.6,8,49620,10499
"Toyota","Land Cruiser Base",1997,"Gasoline","4-Speed A/T","White","Beige","None reported","Yes",212,4.5,6,213000,26500
"Nissan","GT-R Premium",2020,"Gasoline","A/T","White","Black","None reported","Yes",565,3.8,6,16010,114000
"Lexus","NX 350 F SPORT Handling",2023,"Gasoline","8-SPEED AT","Black","Black","None reported","No",332.283838699594,3.71083587046776,6,820,51998
"Audi","Q7 45 Premium Plus",2021,"Gasoline","8-Speed A/T","Blue","Black","None reported","Yes",248,2,4,68000,36499
"Lexus","LX 470 Base",1999,"Gasoline","A/T","White","Beige","None reported","Yes",230,4.7,8,82000,25000
"GMC","Terrain SLE",2022,"Gasoline","9-Speed Automatic","Summit White","Jet Black","None reported","No",332.283838699594,1.5,6,27352,27785
"Ford","Escape Limited",2012,"Gasoline","A/T","White","Gray","At least 1 accident or damage reported","Yes",171,2.5,4,129000,7000
"Lexus","LS 460 L",2014,"Gasoline","8-Speed A/T","White","Beige","At least 1 accident or damage reported","Yes",360,4.6,8,106731,30000
"Ford","Expedition Platinum",2019,"Gasoline","10-Speed A/T","White","White","None reported","Yes",400,3.5,6,34672,45500
"Chevrolet","Malibu LTZ",2010,"Gasoline","Transmission w/Dual Shift Mode","Beige","Beige","None reported","Yes",252,3.6,6,55900,8950
"Audi","RS 7 4.0T quattro",2023,"Gasoline","1-Speed Automatic","Daytona Gray Pearl Effect","Black / Express Red","None reported","No",332.283838699594,4,6,3158,128900
"Audi","A5 2.0T Premium Plus",2015,"Gasoline","8-Speed A/T","White","Brown","None reported","Yes",220,2,4,82000,17000
"Genesis","G70 2.0T",2023,"Gasoline","Automatic","Vik Black","Obsidian Black","None reported","Yes",332.283838699594,2,6,4785,42850
"Chevrolet","Trailblazer LS",2021,"Gasoline","9-Speed Automatic","Pacific Blue Metallic","Black","None reported","No",332.283838699594,1.3,6,20497,22999
"Scion","tC Base",2013,"Gasoline","6-Speed A/T","Silver","Black","At least 1 accident or damage reported","Yes",180,2.5,4,177600,7100
"Lincoln","MKZ Hybrid Base",2014,"Hybrid","A/T","Blue","Beige","None reported","Yes",188,2,4,78568,15500
"Ford","Transit-350 XL",2018,"E85 Flex Fuel","A/T","White","Gray","None reported","Yes",275,3.7,6,95000,43000
"Porsche","911 GT2 RS",2018,"Gasoline","7-Speed Automatic with Auto-Shift","Black","Black","None reported","Yes",332.283838699594,3.8,6,4529,417500
"Ford","Explorer Timberline",2021,"Gasoline","10-Speed Automatic","Gray","Ebony","At least 1 accident or damage reported","No",332.283838699594,2.3,6,25240,39951
"Volvo","XC90 3.2",2011,"Gasoline","A/T","Blue","Beige","At least 1 accident or damage reported","Yes",235,3.2,6,88300,11500
"Chevrolet","Avalanche LTZ",2013,"E85 Flex Fuel","6-Speed A/T","Silver","Black","At least 1 accident or damage reported","Yes",320,5.3,8,98000,27499
"Audi","TT RS 2.5T",2018,"Gasoline","Transmission w/Dual Shift Mode","Gray","Gray","None reported","Yes",400,2.5,5,20675,76000
"Lincoln","Navigator L",2008,"Gasoline","A/T","Black","Black","None reported","Yes",300,5.4,8,95000,10900
"Hyundai","Elantra GLS",2010,"Gasoline","4-Speed A/T","Blue","Blue","At least 1 accident or damage reported","Yes",138,2,4,107000,6250
"Audi","SQ5 3.0T Premium Plus",2016,"Gasoline","Transmission w/Dual Shift Mode","Black","Black","At least 1 accident or damage reported","Yes",354,3,6,60000,24700
"Mitsubishi","Lancer Evolution GSR",2012,"Gasoline","5-Speed M/T","Black","Black","None reported","Yes",291,2,4,33000,34999
"Tesla","Model Y Performance",2023,"","1-Speed A/T","Black","White","None reported","Yes",455,3.71083587046776,6,500,60000
"Mercedes-Benz","Maybach S S 600",2016,"Gasoline","7-Speed A/T","White","Beige","None reported","Yes",523,6,2,108500,63500
"Nissan","GT-R Premium",2017,"Gasoline","Transmission w/Dual Shift Mode","Orange","Orange","None reported","Yes",565,3.8,6,37800,149500
"Mercedes-Benz","GLS 550 Base 4MATIC",2018,"Gasoline","Automatic","Obsidian Black Metallic","Gray","None reported","No",332.283838699594,3.71083587046776,6,74422,44798
"Chevrolet","Blazer Premier",2019,"Gasoline","9-Speed Automatic","Silver Ice Metallic","Jet Black","None reported","No",332.283838699594,3.6,6,55621,34562
"Mazda","CX-9 Grand Touring",2021,"Gasoline","6-Speed Automatic","Sonic Silver Metallic","Black","At least 1 accident or damage reported","Yes",332.283838699594,2.5,6,46707,32541
"Ford","Expedition Max Limited",2022,"Gasoline","A/T","White","Beige","None reported","Yes",440,3.5,6,26500,65900
"Nissan","Titan XD SV",2020,"Gasoline","9-Speed Automatic","Black","Black","None reported","Yes",332.283838699594,5.6,6,10001,47214
"Lexus","LX 570 Three-Row",2019,"Gasoline","8-Speed A/T","Black","Beige","None reported","Yes",383,5.7,8,19050,76900
"Chevrolet","Traverse Premier",2020,"Gasoline","A/T","White","Black","None reported","Yes",310,3.6,6,52000,35800
"Mercedes-Benz","Sprinter High Roof",2014,"Diesel","7-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",188,3,6,65000,54999
"BMW","X5 3.0i",2004,"Gasoline","Transmission w/Dual Shift Mode","Black","Beige","None reported","Yes",225,3,6,140000,6730
"Ford","Fusion SE",2018,"Gasoline","A/T","Blue","Black","At least 1 accident or damage reported","Yes",181,1.5,4,75600,14950
"Lincoln","MKZ Base",2015,"Gasoline","A/T","Beige","Beige","None reported","Yes",240,2,4,117292,12000
"Ford","GT",2005,"Gasoline","Manual","White","Unknown","None reported","No",332.283838699594,3.71083587046776,6,1897,429998
"Genesis","G90 5.0 Ultimate",2017,"Gasoline","Transmission w/Dual Shift Mode","White","Beige","None reported","Yes",420,5,8,26000,33600
